UserId,Credits
fc9ee29e-77b7-47c1-aeff-76646632b4a5,6
2050a4cf-84ca-437a-9189-a8ddc5126ba4,1
ea38fe88-bb5d-44ff-9e0e-78362c4506e3,4
811a73f5-6825-4748-9876-aa861177608c,4
8f422a8c-8546-473c-881e-d49285eef140,8
ff98081d-f8c8-49d9-be81-f0f1dc0f2866,10
5c4aa555-29a7-4efb-97ac-4edc07d26847,4
ab68eb93-d669-4d80-bdcf-2cc0e8cb325d,6
b6ec76bc-5eea-497b-b89d-038bfffc5499,3
531de532-fe33-4946-b143-35bfc210acff,5
9fa6276a-d843-4e4f-b947-6343207473a4,8
492aa83f-d6b7-4585-99bf-04ad6cd81fac,7
07ad3c50-29af-44f2-bf65-99b89b0ea6e1,9
cd6ffa74-3ab3-431e-928a-2a2e9da8148a,9
49ce1e1e-f97e-461b-9ed5-86177905dc73,2
61d12a38-2a04-4ee3-8c7f-e199c34466ae,7
fce40e8f-22e8-42f2-906e-460f168869c6,8
54dea2c2-35d8-48b2-ad5a-57e2022f760f,8
d8cdcc99-b987-4769-a3db-f09a31635912,9
d169a89b-3120-4268-b9d0-518433c4e7cf,2
7e4bc24f-cc6c-4734-bc4e-0761960731e4,6
e918110d-1451-4a86-adb5-3230179e4fbc,10
9c505ef3-a176-4d80-a6a0-faaea7455aa1,9
498e952c-73cc-4522-82bc-c2858a3ee3c7,10
72f8eba1-dfd0-4398-a46e-439a3df802a8,5
9ba34949-94ed-4ee2-8b48-0affbb6ba08a,4
6c3175c9-a265-4848-abca-43ac7cc4781b,1
e415c93c-b1fd-4d5f-b6c4-90ddb79e5380,4
4cbe97a6-da02-486e-b9e9-e4b6779ab9ef,6
71e3601d-5853-4a1c-8a06-9f5575caac88,1
9ee8c81c-051f-497e-808a-cf4868f05253,3
42e72c22-f468-498a-aebc-38aebe8bf8b1,4
b30d646d-8c48-47c5-801e-64d32600d40a,9
d3c1adfc-040f-413d-a3be-1d472f51760d,2
18e94711-c493-48d4-b085-227dd59ab95a,4
b94788b0-5122-4c3f-8f56-e84832b917fb,4
aea2763c-ce2f-4358-9e5b-c026c671d8fb,4
857c2b61-6565-466f-9a00-f3ef7fcfe688,8
9c55ab3a-3ce8-470e-8c51-979df2f951ff,1
98992b8c-14b6-44ce-aee4-3e6bb6b35ecf,2
c27746fa-7b53-4218-85f4-cabd211b84a2,10
e8d08095-a549-4291-8d80-26b2fc3f8126,10
d6b5deb1-ee4a-4e6d-9214-66609415d2ab,1
37374247-b612-4bc9-8f15-34553d98bb33,5
76d985e6-4169-4c40-ba5e-8963a8aa22f2,8
88c9678b-db80-411c-95ce-e7913d0d1244,4
cf18aea4-ad0e-4422-b8fb-c1dab9a32d55,3
f2a3dab3-eb42-4ce8-8a8b-a0d67248bb8c,8
11e943d0-be81-436b-9e21-d264e7e20d24,3
9c7af2c3-fee0-47c1-a070-0817d13a53c6,1
5dbb0356-b7c6-4ba2-9818-307aee1d1e80,1
f787e27d-874e-46a8-9d6b-854875a660d7,5
fce40e8f-22e8-42f2-906e-460f168869c6,6
69b4dc1b-2ce4-469f-9c31-e1bc1e54e2b6,6
57031a66-ecac-4b77-84e3-e4ff7f9fae9f,7
b1ef5975-6d17-4a89-8d0b-018aa5fa1549,9
aae97798-9a8c-4943-91d2-9a3e1e3413cb,5
185fca21-235f-4a1c-8c2d-161078342f89,2
80beab63-26e9-421e-90ef-2b4080a4b544,5
a537a775-1941-409f-8588-cc77862ad472,10
b56f9227-1b4e-4ed1-9560-4bcb245f5d32,9
29e2892a-b455-4ad8-bb56-469e339ec278,2
a8bdd5c7-2f0c-4333-980e-d580f8372aa7,2
38db3d73-5a7f-4e94-9ed7-71336010c00d,8
8da7ae7c-0ef4-4f5d-a252-e0f04528d3a7,10
c16ee15e-9766-4c89-860d-2c52143dc59a,10
38b377e6-c1b2-482e-8b96-70f89025e5a8,4
3090d454-e3c3-4197-8d87-9b4a96c79c1d,7
c3910c2f-b97c-400a-b336-ca7d65fe22fa,8
994e3a0b-7d69-41c4-87ae-bbd0b819a89d,3
994a0038-49c5-43f6-8719-7be5205e9fd5,1
d0f0ceaa-fec6-4cb3-86d2-30ac386d96d2,4
144835e5-04f2-4e80-99e7-d05e877079ed,6
6e714b84-4d82-4010-8e4e-d3d23958e42a,10
bd812204-ff38-4f9a-b766-481df85085c6,5
2c1236bb-5f58-47e6-8a4c-c5af2ee3a632,5
f042ede1-ff1e-4583-a1c4-af8170122771,7
5283ca70-9d17-40a8-8c52-fe59a6a82f90,5
a55e5cad-bcff-4d19-bf25-27368b880323,5
08a48a3c-4b77-4f63-8dff-f6bb1daf47cb,4
c3eaf78e-15b1-4ba4-a0db-2d4580b27bd5,5
68c8955c-b531-4ad1-b8eb-ca78ea63ad3c,5
f73527d8-3c7f-4d5a-ade7-fbdca634b0e8,9
b142fbe2-e0f6-4058-b0ca-fa847c3f9ff4,5
614620b7-b3d6-4158-9445-2fd6446e98be,4
e6d879bc-47b8-4485-880c-b234eb27af0d,8
52b322ba-9bb5-4d92-a81a-a73c4cf58dd3,6
704fcd89-ce49-4be9-a0cb-de6431898b73,6
c2d03174-f47a-4bd2-9eba-668f8a15ece5,1
d08c18a5-b11a-4041-89da-486802b9e242,2
2670aaea-bed6-485e-abc8-be7c92400d99,6
7c2a0ff4-a201-49b5-80ae-6800a68ca035,10
d430bee1-e252-47e3-97a9-3c77124e0dff,4
dbe0d3d4-ed7a-4492-b8a2-b253775254be,1
0704b0b3-bdec-4a2b-8ebb-7bc3f21f100b,6
dfe8fad9-b5ea-485e-87e8-eaea33f2dba0,1
02c6086f-81f5-4b39-b240-d66f62535479,2
3d702fda-30a4-4e8b-acff-c83a2e37df51,3
145756dc-2171-429b-a6b1-cb754f13f52e,5
ccdcd256-9f2e-4c7f-b97a-83ec6d090880,3
11073c27-6e39-4f83-984d-b246c771d66f,1
94f2777a-2525-48b0-a63b-a0de3b7a225c,4
d384e5e2-ac9a-4ff5-ab86-47c48bc58310,3
a70ec9dd-1682-4b0e-8883-8783f5d834a4,1
d384e5e2-ac9a-4ff5-ab86-47c48bc58310,8
e3ccacc5-5ada-479c-8e9b-b8e907f9b274,6
9f0cccd1-7871-4208-83de-3cf2bcaeecef,10
bd476270-eb9d-4e9f-9411-8f8c578facf1,1
d21b1d26-abe4-4aaf-997f-63e7d85e60cf,3
500486e8-c486-4037-9bb9-cd8789a65f88,8
18c1e820-119f-44ec-b369-115c56ee90b7,3
e1e3a64d-a9b4-4772-975f-ff322dd166c2,10
da79c556-24f0-4a45-be97-b594a525a747,3
411a0c69-f8a7-4fdc-9549-81f50e0132ca,4
00fb2479-04cb-4c73-83ad-6bd4042f78e0,4
80a8ca90-3082-4064-ae02-37001cfb602c,3
0eda49a1-c360-4a68-8cbb-62f0547637b0,4
efb3a957-912f-498a-a7c9-4d0fe649d235,5
8afc4618-6388-4f73-ab44-465e72a4d583,2
28d379c5-6cd2-42e3-b2ba-a2ef67d86f2f,3
1238e9bf-a61d-4e88-b586-1158292fcdba,10
28c5d592-5f1a-49d7-8a2e-a442cd111745,2
3ca2effb-930f-4279-a9c4-82d0ff37a7a5,5
94b2cfff-26c0-49ce-bbb0-ce76e2d419a0,7
5aff3b27-8994-4758-80b6-c3fdb6de8911,9
5aff3b27-8994-4758-80b6-c3fdb6de8911,3
68742d36-bc2d-4875-914b-07c01f5721e8,4
98f1107c-a613-49be-b5ee-7263d6b68e48,1
98688b5f-89b8-46f2-b867-4cf5d60e5542,1
62915e7c-efe5-4b83-894f-a3b48ce991af,7
25692082-6f63-4b65-b48b-1a5f21abef3a,1
cf686f07-eac5-422a-ad3f-bd96d842b270,7
c2627aae-af07-480f-80d7-a7ca313a6732,4
6e4e933f-d3ca-4cca-aa75-52c03627754d,4
c2627aae-af07-480f-80d7-a7ca313a6732,9
59b1934c-2438-46c1-9296-806241ea9384,9
7353bada-4a13-476f-8763-569a51dee3b9,9
7353bada-4a13-476f-8763-569a51dee3b9,3
90fe699e-dd56-443e-989a-888ad34c4c75,4
c8c647f7-cc34-4032-833e-81f883e9902f,3
0b5538e4-4678-42ca-b2bf-1a7321928a71,1
58921d55-5118-4d2a-a2f6-dd6c6b0f9c51,9
734fe52d-86ed-496f-a3e6-aba40d8ef05c,9
c560b28e-6c80-4a9d-980c-d61a31fba1d5,4
e4655573-fb91-4f74-aa6b-fc6938fe2a50,9
0266d832-5337-4f25-946e-8aa862eaf519,3
